id	name
1	Martin Luther King: Dream
2	John F. Kennedy
3	Franklin Delano Roosevelt
4	Franklin Delano Roosevelt
5	Barbara Jordan
6	Richard M. Nixon
7	Ronald Reagan
8	John F. Kennedy
9	Lyndon Baines Johnson
10	Mario Cuomo
11	Jesse Jackson
12	Barbara Jordan
13	General Douglas MacArthur
14	Martin Luther King, Jr.
15	Theodore Roosevelt
16	Robert F. Kennedy
17	Dwight D. Eisenhower
18	Woodrow Wilson
19	General Douglas MacArthur
20	Richard M. Nixon
21	John F. Kennedy
22	Clarence Darrow
23	Russell Conwell
24	Ronald Reagan
25	Huey P. Long
26	Anna Howard Shaw
27	Franklin Delano Roosevelt
28	Ronald Reagan
29	Ronald Reagan
30	Franklin Delano Roosevelt
31	Harry S. Truman
32	William C. Faulkner
33	Eugene Debs
34	Hillary Rodham Clinton
35	Dwight D. Eisenhower
36	John F. Kennedy
37	Ann Richards
38	Richard M. Nixon
39	Woodrow Wilson
40	Franklin D. Roosevelt
41	Martin Luther King, Jr: A Time
42	William Jennings Bryan
43	Barbara Bush
44	John F. Kennedy
45	John F. Kennedy
46	Spiro Agnew
47	Jesse Jackson
48	Mary Fisher
49	Lyndon Baines Johnson
50	George C. Marshall
51	Ted Kennedy
52	Adlai Stevenson
53	Eleanor Roosevelt
54	Geraldine Ferraro
55	Robert La Follette
56	Ronald Reagan
57	Ted Kennedy
58	John L. Lewis
59	Barry Goldwater
60	Stokely Carmichael
61	Hubert Humphrey
62	Emma Goldman
63	Carrie Chapman Catt
64	Newton Minow
65	Edward M. Kennedy
66	Anita Hill
67	Woodrow Wilson
68	Lou Gehrig
69	Richard M. Nixon
70	Carrie Chapman Catt
71	Ted Kennedy
72	Lyndon Baines Johnson
73	Franklin Delano Roosevelt
74	Woodrow Wilson
75	Mario Savio
76	Elizabeth Glaser
77	Ursula K. Le Guin
78	Huey P. Long
79	Gerald R. Ford
80	Cesar Chavez
81	Elizabeth Gurley Flynn
82	Jimmy Carter
83	William Jefferson Clinton
84	Shirley Chisholm
85	Ronald Reagan
86	Elie Wiesel
87	Gerald R. Ford
88	Woodrow Wilson
89	Lyndon Baines Johnson
90	McCarthy
91	Eleanor Roosevelt
92	Robert F. Kennedy
93	John Kerry
